"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","142.251.221.98","10.1.0.73","UDP","155","443  >  59390 Len=113"
"2","0.001213","142.251.221.98","10.1.0.73","UDP","64","443  >  59390 Len=22"
"3","0.001401","10.1.0.73","142.251.221.98","UDP","77","59390  >  443 Len=35"
"4","0.043358","142.251.221.98","10.1.0.73","UDP","66","443  >  59390 Len=24"
"5","0.060887","10.1.0.43","224.0.0.252","LLMNR","68","Standard query 0x9f64 ANY TUF-CRUZ"
"6","0.061069","10.1.0.43","224.0.0.22","IGMPv3","70","Membership Report / Join group 224.0.0.251 for any sources / Join group 239.255.255.250 for any sources / Join group 224.0.0.252 for any sources"
"7","0.061096","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","130","Multicast Listener Report Message v2"
"8","0.061448","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","0.061463","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.251"
"10","0.061473","fe80::708:2dfd:1a83:4aee","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"11","0.062240","10.1.0.43","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"12","0.163893","10.1.0.69","239.255.255.250","SSDP","211","M-SEARCH * HTTP/1.1 "
"13","0.195626","182.161.73.175","10.1.0.73","TCP","54","443  >  52281 [FIN, ACK] Seq=1 Ack=1 Win=69 Len=0"
"14","0.195688","10.1.0.73","182.161.73.175","TCP","54","52281  >  443 [ACK] Seq=1 Ack=4294966743 Win=255 Len=0"
"15","0.368449","fe80::708:2dfd:1a83:4aee","ff02::1:3","LLMNR","88","Standard query 0x9f64 ANY TUF-CRUZ"
"16","0.382539","10.1.0.73","8.8.4.4","DNS","78","Standard query 0xe709 A capi.grammarly.com"
"17","0.398566","8.8.4.4","10.1.0.73","DNS","206","Standard query response 0xe709 A capi.grammarly.com A 98.89.245.112 A 54.172.218.160 A 35.170.136.131 A 54.86.231.28 A 52.7.28.129 A 3.222.186.181 A 34.227.141.149 A 3.212.245.47"
"18","0.399248","10.1.0.73","98.89.245.112","TCP","66","63399  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"19","0.432929","10.1.0.73","8.8.4.4","DNS","76","Standard query 0x390e A in.grammarly.com"
